rank,track_id,track_name,artist_name,album_name,popularity,duration_ms,time_range
49,6IDywtwTrAkEsmJkPSNs27,Toter Schmetterling - Single Edit,"Klangkuenstler, Sant",Toter Schmetterling,55,164615,short_term
50,71VdDpjM7OR2pnX9PZhf3q,Get On Up,"MALUGI, Narciss",Do It For You,37,173208,short_term
1,6iE0VNpMQKcIdpst3Gg07J,Fliegen davon,"MARA, VELA",Fliegen davon,30,122360,medium_term
2,7ypsggTPfNl8KahWWD6XUw,save me,skaviński,dance love cry,35,262000,medium_term
3,7G596GJow5bloojRLVf2hw,Knife,MØ,Plæygirl,35,184617,medium_term
4,3FtoFV2jACKn22Ym5OGiX1,Sound Of The Soul,KAS:ST,Sound Of The Soul,37,236692,medium_term
5,2LqVToqMz0bSic6o359KbT,Love Me Or Hate Me,Miguel Campbell,Love Me Or Hate Me,14,264406,medium_term
6,1MDyUzZgyrdeQVmV1FU3WQ,Als du gingst - edit,"Contec, Lina Maly",Als du gingst (edit),72,239019,medium_term
7,5RXXZrbsPprpVXpSPRRiWU,oxytocin,LEEPA,oxytocin,29,158816,medium_term
8,0gNdnznYbvnHLNzP3zmNQ4,The Point Of Living - Omnya Remix,"Giolì & Assia, Omnya",Resurrection (The Remixes),39,232380,medium_term
9,0xwRtdUUVTfOkseJIzC8T2,Who Said,MØ,Plæygirl,35,187348,medium_term
10,7uTLJJ0mb3LCsICzSlKrlR,El Medano,Thomas Lizzara,El Medano,33,509346,medium_term
11,0zsE0og8kz0nddQFeNrgPG,Traum,"David Löhlein, VELA",Traum,55,214800,medium_term
12,3sXMf88N6T9JbpYPYUFYc5,stayinit,"Fred again.., Lil Yachty, Overmono",USB,53,274925,medium_term
13,1ajPdywE7Y06OR2WkZa2Ca,LEFTLOVERS,Krl Mx,LEFTLOVERS,23,424091,medium_term
14,4UTDJfQJr7my95FERZXg9Q,The Tribe,KAS:ST,The Tribe,43,257142,medium_term
15,1ZMODMeLK5x6W8r8jsmmgX,Au Revoir (feat. Sido),"Mark Forster, Sido",Bauch und Kopf,60,202320,medium_term
16,4Gd5Cxw7V4JCM9Uj6VpiwL,Prayer - Edit,Prospa,Prayer (Edit),51,226341,medium_term
17,0RBOx7k5d3y2pSmtHB1Asg,Don't You Feel My Heart - Edit,Butschi,Don't You Feel My Heart,44,178064,medium_term
18,5DGXvLonbmm1Ct2eGafnt4,Foolish Heart,"The Polish Ambassador, Dead Polish","Dead Polish, Vol. 1",27,297368,medium_term
19,0Fe3WxeO6lZZxj7ytvbDUh,Dashboard,Modest Mouse,We Were Dead Before The Ship Even Sank,62,246173,medium_term
20,5HND5A93HCxNnuY8MpP8e8,Antarctica,Men Without Hats,Rhythm Of Youth (Expanded Edition),21,205680,medium_term
21,2dQ1P3FfppljdHuSTYp2QX,Ember,Einmusik,Ember,27,415558,medium_term
22,2qxaiv9ZSeRhVBe0zGZaAa,Nothing,"Jeff The Fool, Fleur De Mur, Georges",French Lessons,10,209548,medium_term
23,0F3DdOECeVoVaELgPcYiSf,Tanya (maybe life),Fred again..,Actual Life 2 (February 2 - October 15 2021),46,316129,medium_term
24,2cBUDwAyotdSCeDZbz150t,Nights over You,Folamour,Nights Over You,44,393999,medium_term
25,4CMMYnsYsM7gY3Gf7j10yf,Be My Lover,"MALUGI, Paul Sirrell",Be My Lover,51,155586,medium_term
26,6p2sh70Zowkw47cG0TkXg0,Phonky Tribu - FUNK TRIBU SPECIAL MIX,Funk Tribu,Phonky Tribu (FUNK TRIBU SPECIAL MIX),51,186095,medium_term
27,7nSWCkjufj2nFjVPdAyNRh,French Lesson,Jeff The Fool,French Lessons,9,148384,medium_term
28,5sHSOdyd964XLnvaHeQWZF,Urartu,Anahit Vardanyan,Urartu,19,407986,medium_term
29,2PSjplBcb9xHYgZdTurg88,Queen Of Swords,Desirée Falessi,Queen Of Swords,10,401773,medium_term
30,7zVP6H7YeyHEL9f6w6Bmqm,CHROMA 001 HELIUM,BICEP,CHROMA 001,42,287447,medium_term
31,52ikpG7wqDrqAkocLVJjrx,Echoes,"Hard Target, Clouds, Tommy Holohan",Echoes,32,361306,medium_term
32,4rtPrDImV3Zvz0033ePqdK,Sunglasses at Night,"Reinier Zonneveld, Tiga, Zyntherius",Sunglasses at Night,36,225222,medium_term
33,7tSi005y4AZaL8SNpOMhqk,Blink,Amirali,Blink EP,9,379903,medium_term
34,2RiY2yq596cGLXBiHasCcp,Summer Of Love,Andrew Meller,Summer Of Love,18,372000,medium_term
35,6IDywtwTrAkEsmJkPSNs27,Toter Schmetterling - Single Edit,"Klangkuenstler, Sant",Toter Schmetterling,55,164615,medium_term
36,6jlG8gBPNAgBgoivw2Ig09,DEVIL IS A LIE,Tommy Richman,DEVIL IS A LIE,73,130944,medium_term
37,7zPzJEtROP1tnEc7aMDUdL,Bending The End (4AM Mix),"Reinier Zonneveld, Cari Golden",Bending the End,8,492480,medium_term
38,5jufho0iIiwJweoZq5bBPr,Bella,"MARA, VELA",Bella,22,172680,medium_term
39,0SyWhkrm6yBPgqliVB7MP9,Knees Break,"MALUGI, MCYL",Knees Break,50,148965,medium_term
40,0qMZXgcLfkl5RI3q50KHMH,Dumbest Girl Alive,100 gecs,"10,000 gecs",58,137440,medium_term
41,42GfEoU1pBpvmPJRbyL81U,Someone To Hold,"Reinier Zonneveld, The Subs",Someone To Hold,46,243200,medium_term
42,1pLRmnVMAz4br5qJThj1vO,Immer wenn du fehlst,Kalte Liebe,Immer wenn du fehlst,50,164295,medium_term
43,1KOTY2OVnEgua9eY76WxvT,Azul,Funk Tribu,Azul,62,226831,medium_term
44,21kPwrdkfoolgxjiRQeGiH,Forbidden Voices,"Odymel, Funk Tribu",Forbidden Voices,56,200166,medium_term
45,3gJ16QEGGhLFPNLvbXgB1u,Losing Control,"KI/KI, Marlon Hoffstadt",Losing Control,71,170270,medium_term
46,5su8Hl3YmYuiirnAptsYOI,No Lover,AIROD,No Lover,25,142124,medium_term
47,3j9K1iPrnwwPyieemfz2if,CHROMA 005 A.L.O.E,"B.D.B, BICEP, Benjamin Damage",CHROMA 005,34,310066,medium_term
48,6vvgZ1kNlBg10FHDo27fxk,Mehr Blau als Sonnenlicht,ALIVEMAEX,Mehr Blau als Sonnenlicht,21,295756,medium_term
49,71VdDpjM7OR2pnX9PZhf3q,Get On Up,"MALUGI, Narciss",Do It For You,37,173208,medium_term
50,0yKN9B3jYONUyvqrGkNUPX,One Night Of Love,Marlon Hoffstadt,One Night Of Love,59,211893,medium_term
1,6kKoiRER3E74UgJDAI4C6N,Wegen Dir,Kalte Liebe,Wegen Dir,45,188907,long_term
2,0eU6ogqTZmNiARD4PGNaJo,Young Forever,Giolì & Assia,Young Forever,35,230522,long_term
3,1pLRmnVMAz4br5qJThj1vO,Immer wenn du fehlst,Kalte Liebe,Immer wenn du fehlst,50,164295,long_term
4,08UjTmy2v4y7EBxIzullPY,Je Garde Espoir,"DJ Traytex, RAUMM",Scars,23,263370,long_term
5,7h6LCgI5TbIlq3jzZhLBGh,Ravetok,"Mc Xsälzbrot, Introversion",Ravetok,1,136549,long_term
6,6v2t8IeVm3UMt9eqXe0y3O,Tut nicht weh,"MARA, VELA",Tut nicht weh,28,140250,long_term
7,2SjTV5tVKofYLnAz4xIwGr,The Perpetual Journey of Self-Discovery,Franck,The Perpetual Journey EP,27,297053,long_term
8,6KmjD9CaophLMXTCzKoLLZ,Falling For You,Amelie Lens,Falling For You,60,234997,long_term
9,29iIRrSuANyjnwag69PHOJ,Demoliendo Hoteles,Charly García,Piano Bar,63,135973,long_term
10,6iE0VNpMQKcIdpst3Gg07J,Fliegen davon,"MARA, VELA",Fliegen davon,30,122360,long_term
11,0B1rCA4jxosOrIQFDqdE8A,Плохая Девочка,"Vintage, TRAVMA, SKIDRI, DVRKLXGHT",Плохая Девочка,0,135272,long_term
12,19OJLSiZod7YFmahNngVta,Rosen Sind Rot,Kalte Liebe,Schall & Schweiss EP,0,361853,long_term
13,0PYX7X0wTBT5WvKzNCWtk2,Europaträume,Brutalismus 3000,Europaträume,1,216592,long_term
14,373gDROnujxNTFa1FojYIl,Lost,Linkin Park,Lost,69,199342,long_term
15,3h5TiWTqGxjSjFrbruPFH9,Praise Jah In The Moonlight,YG Marley,Praise Jah In The Moonlight,73,263040,long_term
16,36ZvYgWivlGx3G11YXReLL,Oui mais Non - Nicolas Julian Remix,"SM:LY, Nicolas Julian",Oui mais Non (Nicolas Julian Remix),46,162338,long_term
17,2SZbcjeq8PCFYrdTdNyZWY,Плохая девочка,Vintage,Sex,0,216320,long_term
18,6RCfw69PfgXwhtYjyIxicz,Spuck mir in den Mund,Kalte Liebe,Spuck mir in den Mund,37,304863,long_term
19,66uD2Gp6k1fkml5xafmdxV,ALLES IST WIE ES IST,Kalte Liebe,ALLES IST WIE ES IST,31,168163,long_term
20,1Cafs1zrIyOzF8XPmkSI4p,Sin Despertar,Kudai,Vuelo,60,195666,long_term
21,3NgwkdI4LED11P61QdrpjT,Dachlatte - Kalte Liebe Remix,"nand, Kalte Liebe",cosmos,40,224086,long_term
22,540k1IRl5UPMhVhpu1LRQ3,Sucker (from the series Arcane League of Legends),"Marcus King, Arcane, League of Legends",Sucker (from the series Arcane League of Legends),60,224293,long_term
23,6QqWR8fmdwG6rfgxwFHcrI,It's All Good,Agents Of Time,It's All Good,33,211428,long_term
24,2RaMogqMge302hL3paUaVP,Komm in Mich,Kalte Liebe,Komm in Mich,29,266957,long_term
25,5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),80,141805,long_term
26,50LmpNbi13PKVKIGHBOLNV,Under Control,Good Shoes,"No Hope, No Future (Bonus Tracks Version)",39,148773,long_term
27,1blkAgvEC7y33jvBWxlVql,Vergiftete Jugend,Kalte Liebe,Schall & Schweiss EP,0,303676,long_term
28,11flbqPHll2BaMLXhNKxbn,Angel Of The 90's,MATRAKK,CONTRE-SENS 2,19,300387,long_term
29,1clsf1YjKNHVUonDva4fnk,To Ashes and Blood (from the series Arcane League of Legends),"Woodkid, Arcane, League of Legends",To Ashes and Blood (from the series Arcane League of Legends),64,245626,long_term
30,1WgyirbL3CSFD9CUktHoEU,Full of Fire,Kobosil,Full of Fire,0,324465,long_term
31,726MUob4MFWryuyBPm4tgY,Warum,Juli,Es ist Juli,36,225360,long_term
32,3Wrjm47oTz2sjIgck11l5e,Beggin',Måneskin,Chosen,84,211560,long_term
33,6I5SDPgn2iW2J72WHGWY69,Music Is The Answer,"Reinier Zonneveld, JG",Heaven Is Mad (For You),31,244200,long_term
34,06cX1gmzT8uBgPD5eYY3fJ,Tränen stillen keinen Durst,Kalte Liebe,Tränen stillen keinen Durst,37,176250,long_term
35,4YAmz4rhvNURdkmwbWAX35,Ева,Vintage,Sex,0,248760,long_term
36,3IC5oKi7Fo7OLJlYj3fSOp,Do It For You,"MALUGI, Narciss",Do It For You,39,158958,long_term
37,4CvvIoMzXxXTzvGPT9nBNO,The Future Is Unknown,"Adriatique, Delhia De France",The Future Is Unknown,48,263520,long_term
38,7j8IuM0nkPSCcunpMeTXBu,Feral - letherette Remix,"Elder Island, letherette",Feral (letherette Remix),23,239555,long_term
39,2FAik0wCT2bEcXMeYhoTkj,I Got You,"Marlon Hoffstadt, DJ Daddy Trance",I Got You,59,164983,long_term
40,5Hh09KHzQ9NRjRd6HIes5R,Heaven,"Sara Landry, Alt8",Heaven,54,238270,long_term
41,5jcwno0cS1H268LWyYpof1,7 Seconds,"Joezi, Coco, Pape Diouf",7 Seconds,60,315380,long_term
42,2BBSKgfN3dt6bVm8wIs7wx,Патрики,Vintage,Патрики,16,199115,long_term
43,32KvUou3L4tAwKiCsxyvpd,Rescue Me,Miguel Campbell,Rescue Me,31,292881,long_term
44,1R6OaY7Dj1bPA3aoVtfHFt,Госпожа,"Vintage, TRAVMA",Госпожа,0,156000,long_term
45,59K0LFhUnKtp5GsH76teI1,Eiskalt - Short Mix,"Kobosil, KUKO",Eiskalt (Short Mix),0,213000,long_term
46,1fQFqhuTWO6tQCZWcrdKQe,Passion,Miguel Campbell,Passion,3,273500,long_term
47,3FPx4V7u7OEp64Y1HVtSgi,Nirvana Affair - Renato Cohen Remix,"Amirali, Renato Cohen",Nirvana Affair,1,388427,long_term
48,55YClWYJCtrXLc6bOgeVGZ,Loving You Like Always - Innellea Remix,"NTO, Innellea, Tricky",Loving You Like Always (Innellea Remix),23,323233,long_term
49,2nVUEKKPv9DDilSZwCcMfu,Canopée des Cîmes,Jan Blomqvist,Canopée des Cîmes,49,296376,long_term
50,4VikOud5ZmdmHH6h7uQeDB,Nos Siguen Pegando Abajo,Charly García,Clics Modernos,64,206720,long_term
